CREATED_DATE,SPECIES,LATITUDE,LONGITUDE
2016 Apr 04 06:35:00 PM,EASTERN GREY KANGAROO,-35.3449818,149.1142831
2016 Apr 04 12:28:00 PM,COCKATOO,-35.26123904,149.1399116
2016 Apr 05 02:47:00 PM,EASTERN GREY KANGAROO,-35.33985927,149.1701314
2016 Apr 06 09:23:00 AM,BRUSHTAIL POSSUM,-35.29322867,149.1524366
2016 Apr 06 10:22:00 AM,EASTERN GREY KANGAROO,-35.4426833,149.0844579
2016 Apr 07 02:15:00 PM,BROWN SNAKE,-35.33698145,149.0019591
2016 Apr 07 04:23:00 PM,BROWN SNAKE,-35.35826692,149.0724031
2016 Apr 07 10:40:00 PM,BRUSHTAIL POSSUM,-35.23084326,149.1134067
2016 Apr 08 06:00:00 PM,EASTERN GREY KANGAROO,-35.2522679,149.1548778
2016 Apr 09 08:44:00 PM,EASTERN GREY KANGAROO,-35.26865094,149.1465226
2016 Apr 10 01:26:00 PM,EASTERN GREY KANGAROO,-35.21047241,149.173661
2016 Apr 11 03:10:00 PM,EASTERN GREY KANGAROO,-35.32928981,149.081753
2016 Apr 11 12:14:00 PM,BRUSHTAIL POSSUM,-35.22968266,149.010591
2016 Apr 13 01:40:00 PM,BRUSHTAIL POSSUM,-35.33949766,149.1282711
2016 Apr 13 10:19:00 AM,EASTERN GREY KANGAROO,-35.38166095,149.0786321
2016 Apr 14 03:28:00 PM,BRUSHTAIL POSSUM,-35.25234477,149.1413763
2016 Apr 14 08:37:00 AM,EASTERN GREY KANGAROO,-35.44745998,149.1136816
2016 Apr 14 11:58:00 AM,SWAN,-35.31405981,149.0990373
2016 Apr 15 07:45:00 PM,WOMBAT,-35.29701231,149.0343278
2016 Apr 18 07:41:00 PM,WOMBAT,-35.32570392,149.0283364
2016 Apr 19 04:59:00 PM,BROWN SNAKE,-35.19570253,149.1282122
2016 Apr 19 10:48:00 AM,EASTERN GREY KANGAROO,-35.37830611,149.1339956
2016 Apr 20 12:28:00 AM,BROWN SNAKE,-35.15867048,149.1452585
2016 Apr 21 12:42:00 PM,WOMBAT,-35.30677145,149.0313417
2016 Apr 22 01:33:00 AM,EASTERN GREY KANGAROO,-35.33308725,149.1616117
2016 Apr 26 03:20:00 PM,SWAMP WALLABY,-35.27272144,149.0883146
2016 Apr 27 09:39:00 PM,WOMBAT,-35.39835349,149.0582155
2016 Apr 28 09:46:00 AM,BRUSHTAIL POSSUM,-35.31109928,149.0930962
2016 Apr 28 09:49:00 AM,EASTERN GREY KANGAROO,-35.35683991,149.0699598
2016 Apr 28 10:22:00 AM,WALLAROO,-35.28250416,149.0879622
2016 Apr 28 11:46:00 AM,EASTERN GREY KANGAROO,-35.4404121,149.0881823
2016 Apr 28 11:57:00 AM,WALLAROO,-35.1934992,149.0386127
2016 Apr 29 02:05:00 PM,EASTERN GREY KANGAROO,-35.18118962,149.139228
2016 Apr 29 09:54:00 AM,WALLAROO,-35.23685727,149.1694323
